account_id,industry,country,referral_source,plan_tier,seats,is_trial,target_churn,plan_tier_sub,seats_sub,mrr_amount,arr_amount,is_trial_sub,upgrade_flag,downgrade_flag,churn_flag_sub,billing_frequency,auto_renew_flag,usage_count_avg,usage_duration_secs,error_count,usage_trend,ticket_count,resolution_time_hours,satisfaction_score,escalation_flag
A-2e4581,EdTech,US,partner,Basic,9,False,False,Basic,44,836,10032,False,False,False,False,monthly,True,10.25,24336.0,5.0,1.1555555555555554,2.0,23.0,3.4906382978723407,0.0
A-43a9e3,FinTech,IN,other,Basic,18,False,True,Pro,18,882,10584,False,False,False,False,monthly,True,13.333333333333334,9880.0,1.0,0.0,3.0,38.0,4.0,0.0
A-0a282f,DevTools,US,organic,Basic,1,False,False,Pro,2,98,1176,False,False,False,False,annual,True,11.0,18279.0,4.0,1.3333333333333333,3.0,43.666666666666664,4.666666666666667,0.0
A-1f0ac7,HealthTech,UK,other,Basic,24,True,False,Pro,24,1176,14112,False,True,False,False,monthly,True,9.857142857142858,14673.0,3.0,0.0,2.0,29.0,3.981276595744681,0.0
A-ce550d,HealthTech,US,event,Enterprise,35,False,True,Enterprise,109,21691,260292,False,False,False,True,monthly,True,13.0,46920.0,7.0,0.0,7.0,42.285714285714285,3.851793313069909,1.0
A-1b9609,EdTech,IN,ads,Enterprise,4,False,False,Enterprise,25,0,0,True,False,False,False,annual,True,9.0,5542.0,2.0,0.0,4.0,43.0,3.7359574468085106,0.0
A-a0ca4e,Cybersecurity,US,ads,Pro,11,False,False,Enterprise,26,5174,62088,False,False,False,False,monthly,True,8.8,13077.0,1.0,0.0,6.0,39.166666666666664,3.8302127659574468,3.0
A-e5d6ab,EdTech,US,partner,Pro,3,False,False,Pro,32,1568,18816,False,False,False,False,annual,True,9.5,8182.0,0.0,0.0,3.0,42.666666666666664,3.981276595744681,0.0
A-7dacce,Cybersecurity,CA,event,Enterprise,12,False,True,Pro,12,0,0,True,True,False,False,annual,True,7.8,7670.0,4.0,0.0,4.0,32.5,3.7453191489361704,0.0
A-10b8da,DevTools,US,partner,Enterprise,14,False,True,Pro,34,1666,19992,False,False,False,False,monthly,True,10.2,14343.0,1.0,0.0,3.0,31.333333333333332,3.660425531914894,0.0
A-592832,Cybersecurity,US,organic,Basic,18,False,True,Pro,18,882,10584,False,False,False,False,annual,False,10.0,18242.0,4.0,0.0,3.0,32.666666666666664,4.320851063829788,0.0
A-d40bf7,FinTech,IN,organic,Basic,59,False,False,Basic,59,1121,13452,False,False,False,False,monthly,True,11.666666666666666,6245.0,0.0,0.0,2.0,20.5,5.0,0.0
A-6c093d,DevTools,US,partner,Basic,7,True,False,Enterprise,7,0,0,True,False,False,False,annual,True,11.666666666666666,15178.0,3.0,0.0,3.0,40.333333333333336,4.320851063829788,1.0
A-462d45,Cybersecurity,US,partner,Enterprise,11,True,False,Pro,30,1470,17640,False,False,False,False,annual,True,8.8,18529.0,1.0,0.9183673469387754,4.0,26.75,3.9859574468085106,0.0
A-956988,EdTech,UK,ads,Enterprise,1,False,False,Enterprise,32,6368,76416,False,False,False,False,annual,True,9.0,5238.0,0.0,0.0,2.0,50.5,3.4906382978723407,0.0
A-ac14bb,FinTech,US,partner,Enterprise,21,False,False,Basic,28,532,6384,False,True,False,False,annual,True,12.0,44017.0,5.0,0.0,2.0,24.5,3.9906382978723407,0.0
A-463db0,HealthTech,US,partner,Basic,15,False,False,Pro,15,735,8820,False,False,False,False,annual,True,8.0,12480.0,5.0,0.7777777777777778,6.0,50.166666666666664,4.1604255319148935,1.0
A-ce66f8,EdTech,CA,event,Pro,29,False,False,Pro,29,1421,17052,False,False,False,False,annual,True,12.0,30832.0,1.0,0.0,6.0,41.666666666666664,3.8208510638297875,0.0
A-c4ea60,FinTech,DE,other,Enterprise,18,False,True,Enterprise,18,3582,42984,False,False,False,False,monthly,True,9.5,6831.0,0.0,0.0,5.0,36.0,3.6,0.0
A-832ec2,FinTech,UK,event,Enterprise,4,True,False,Enterprise,22,4378,52536,False,True,False,False,annual,False,10.75,32894.0,6.0,0.0,3.0,26.0,3.993758865248227,1.0
A-684255,FinTech,US,ads,Enterprise,9,False,False,Basic,9,0,0,True,False,True,True,annual,True,10.2,21950.0,1.0,0.0,4.0,14.25,4.49531914893617,1.0
A-c42f1f,HealthTech,US,other,Pro,8,False,False,Basic,8,152,1824,False,False,False,False,monthly,True,8.0,5440.0,1.0,0.0,9.0,31.333333333333332,3.9916784869976363,1.0
A-4e44e8,DevTools,US,ads,Enterprise,3,False,True,Enterprise,17,3383,40596,False,False,False,False,annual,True,13.2,25831.0,9.0,0.0,3.0,31.333333333333332,3.3333333333333335,0.0
A-30b4ca,EdTech,IN,organic,Basic,86,False,True,Basic,86,1634,19608,False,False,False,False,annual,True,9.142857142857142,13431.0,5.0,0.9859154929577465,3.0,57.666666666666664,3.9875177304964544,0.0
A-9f2731,FinTech,IN,event,Enterprise,1,False,False,Pro,5,0,0,True,False,False,False,annual,True,10.857142857142858,19494.0,9.0,0.0,0.0,35.861,3.981276595744681,0.0
A-32fb14,DevTools,US,event,Enterprise,26,False,True,Enterprise,26,5174,62088,False,False,False,False,annual,True,11.6,17273.0,4.0,1.507936507936508,5.0,34.0,4.188765957446809,0.0
A-00cac8,HealthTech,AU,organic,Enterprise,8,True,False,Pro,19,931,11172,False,False,True,False,annual,True,11.166666666666666,17652.0,4.0,0.0,2.0,33.0,3.981276595744681,0.0
A-35083d,HealthTech,IN,partner,Basic,19,False,True,Enterprise,49,9751,117012,False,False,False,False,monthly,True,12.666666666666666,8282.0,1.0,0.0,4.0,49.75,4.74531914893617,0.0
A-eb7fac,DevTools,US,organic,Enterprise,7,False,False,Basic,26,494,5928,False,False,False,False,monthly,True,9.2,17133.0,4.0,0.0,4.0,34.0,3.985957446808511,0.0
A-b20d99,HealthTech,IN,other,Basic,20,False,False,Enterprise,20,3980,47760,False,True,False,False,monthly,True,10.142857142857142,20236.0,2.0,0.0,2.0,61.5,3.5,0.0
A-396e5f,Cybersecurity,CA,other,Enterprise,2,False,False,Pro,34,1666,19992,False,False,False,False,monthly,False,9.125,26994.0,5.0,0.0,5.0,24.8,3.9850212765957442,1.0
A-45ce7a,FinTech,US,ads,Enterprise,16,False,False,Enterprise,16,3184,38208,False,False,False,False,monthly,True,12.4,18958.0,2.0,0.0,5.0,45.4,3.7925106382978724,0.0
A-08e34e,EdTech,US,event,Basic,14,False,True,Enterprise,14,2786,33432,False,False,False,False,monthly,True,12.0,23768.0,4.0,0.0,3.0,43.0,3.3270921985815605,0.0
A-8145a0,Cybersecurity,AU,partner,Basic,2,True,False,Basic,15,285,3420,False,False,False,False,monthly,True,9.6,12610.0,3.0,0.0,6.0,23.666666666666668,3.9906382978723407,0.0
A-bad8c1,FinTech,AU,organic,Basic,7,False,False,Pro,37,1813,21756,False,False,False,False,monthly,True,9.5,28360.0,1.0,0.0,1.0,27.0,4.0,0.0
A-44dc83,EdTech,FR,other,Basic,5,False,False,Enterprise,13,0,0,True,False,False,False,annual,True,10.2,16247.0,1.0,0.0,7.0,40.857142857142854,4.4232218844984805,0.0
A-f446b6,DevTools,DE,ads,Pro,5,True,False,Basic,5,95,1140,False,False,False,False,annual,True,8.666666666666666,7020.0,0.0,0.0,8.0,30.75,4.115638297872341,1.0
A-a45270,HealthTech,US,ads,Enterprise,3,False,False,Basic,66,0,0,True,False,False,False,annual,True,11.666666666666666,21912.0,8.0,0.9473684210526316,4.0,64.0,3.9906382978723407,0.0
A-854864,FinTech,IN,event,Enterprise,20,False,False,Pro,20,980,11760,False,False,False,False,annual,True,10.5,21875.0,2.0,0.0,5.0,44.2,4.8,0.0
A-1b7577,Cybersecurity,US,other,Pro,4,False,False,Pro,41,2009,24108,False,False,False,False,monthly,True,10.142857142857142,17982.0,0.0,0.8974358974358975,5.0,27.2,3.9962553191489363,0.0
A-05f0e5,FinTech,US,partner,Basic,32,False,False,Pro,58,2842,34104,False,False,False,False,annual,True,8.2,10381.0,5.0,0.0,4.0,20.0,3.9953191489361704,0.0
A-9077b0,HealthTech,US,ads,Basic,2,False,False,Enterprise,2,398,4776,False,True,False,False,annual,True,11.666666666666666,23285.0,2.0,0.0,3.0,40.333333333333336,4.333333333333333,0.0
A-7f8241,EdTech,US,organic,Pro,34,False,True,Enterprise,34,6766,81192,False,False,False,False,monthly,False,10.666666666666666,7831.0,1.0,0.0,1.0,36.0,3.0,0.0
A-2bc93d,HealthTech,US,event,Basic,14,False,False,Pro,35,1715,20580,False,False,False,False,monthly,True,7.625,21277.0,5.0,0.0,2.0,12.0,4.5,0.0
A-f3ff05,FinTech,IN,other,Enterprise,2,False,False,Basic,30,570,6840,False,False,False,False,monthly,True,7.5,4400.0,0.0,0.0,3.0,42.666666666666664,3.660425531914894,0.0
A-2d4502,FinTech,IN,event,Basic,7,False,False,Enterprise,34,6766,81192,False,False,False,False,annual,True,7.0,1638.0,0.0,0.0,3.0,26.333333333333332,4.6604255319148935,0.0
A-6a4e2d,EdTech,UK,partner,Pro,9,False,False,Pro,14,686,8232,False,True,False,True,annual,True,9.25,8794.0,0.0,0.0,2.0,18.5,4.5,1.0
A-eb7c38,DevTools,AU,organic,Enterprise,5,False,False,Basic,33,627,7524,False,False,False,False,annual,True,12.166666666666666,18082.0,3.0,0.0,5.0,22.4,4.192510638297873,0.0
A-c37601,EdTech,US,partner,Basic,6,True,False,Enterprise,54,10746,128952,False,False,False,False,monthly,False,8.5,19445.0,5.0,0.0,4.0,42.25,3.7453191489361704,0.0
A-3b5cd1,FinTech,US,event,Basic,13,True,False,Enterprise,32,6368,76416,False,False,False,False,annual,True,11.333333333333334,22751.0,1.0,0.0,5.0,27.4,3.988765957446809,0.0
A-b2225d,FinTech,US,ads,Basic,47,False,True,Basic,47,893,10716,False,False,False,False,annual,True,9.375,26739.0,1.0,0.0,2.0,42.0,3.4906382978723407,0.0
A-94f8c9,HealthTech,US,other,Basic,13,False,False,Enterprise,13,2587,31044,False,False,False,False,monthly,True,9.375,27184.0,0.0,0.0,3.0,47.333333333333336,4.6604255319148935,0.0
A-02fac6,FinTech,US,event,Pro,22,False,False,Pro,22,1078,12936,False,True,False,False,monthly,True,11.285714285714286,22958.0,4.0,0.8953488372093023,6.0,23.333333333333332,3.9875177304964544,0.0
A-c1dfe1,DevTools,DE,ads,Pro,26,False,False,Basic,26,494,5928,False,False,False,False,monthly,False,10.0,36787.0,9.0,1.0,3.0,50.333333333333336,3.9875177304964544,0.0
A-32728c,DevTools,US,event,Pro,20,False,True,Basic,42,798,9576,False,False,False,False,annual,True,10.0,7055.0,3.0,0.0,2.0,34.5,3.5,0.0
A-4c38bc,HealthTech,UK,event,Basic,36,False,True,Pro,36,1764,21168,False,False,False,True,annual,True,11.666666666666666,20281.0,0.0,0.0,3.0,48.333333333333336,3.660425531914894,0.0
A-1b707d,Cybersecurity,US,organic,Enterprise,1,False,False,Basic,2,0,0,True,False,False,False,annual,False,10.5,7154.0,0.0,0.0,3.0,42.666666666666664,3.981276595744681,0.0
A-6f8ad2,EdTech,IN,organic,Basic,1,False,False,Basic,41,779,9348,False,False,False,False,annual,False,12.5,6510.0,7.0,0.0,4.0,35.25,4.24531914893617,0.0
A-4d1e75,DevTools,US,other,Basic,20,False,False,Basic,20,380,4560,False,True,False,False,monthly,False,11.0,13861.0,2.0,0.0,2.0,15.0,4.0,0.0
A-9ee962,HealthTech,US,ads,Basic,9,False,True,Basic,9,171,2052,False,False,False,False,annual,True,8.0,7366.0,2.0,0.0,3.0,37.0,3.9875177304964544,0.0
A-378b99,EdTech,UK,ads,Pro,8,True,False,Pro,16,784,9408,False,False,True,False,annual,True,10.0,26093.0,1.0,0.9090909090909091,6.0,28.5,4.3270921985815605,0.0
A-94d3da,HealthTech,US,other,Basic,41,False,False,Basic,41,779,9348,False,False,False,False,monthly,True,9.0,12108.0,1.0,0.0,6.0,26.833333333333332,3.660425531914894,0.0
A-e351e1,EdTech,US,other,Enterprise,33,False,False,Basic,33,627,7524,False,False,False,True,annual,True,11.0,21804.0,2.0,1.4166666666666667,4.0,17.0,3.75,0.0
A-9badbd,Cybersecurity,DE,ads,Enterprise,5,True,False,Enterprise,59,11741,140892,False,False,False,True,monthly,True,11.8,17022.0,3.0,0.625,5.0,30.2,4.388765957446809,0.0
A-7e0a10,FinTech,US,ads,Enterprise,46,False,False,Enterprise,70,13930,167160,False,False,False,False,annual,True,9.666666666666666,36223.0,3.0,0.84375,5.0,39.4,3.988765957446809,0.0
A-118d55,Cybersecurity,US,organic,Basic,8,False,False,Enterprise,29,5771,69252,False,False,False,True,monthly,True,9.2,11527.0,6.0,0.0,5.0,24.2,4.192510638297873,0.0
A-526d93,HealthTech,FR,organic,Basic,43,False,False,Enterprise,43,8557,102684,False,False,False,True,annual,False,11.0,14636.0,1.0,0.0,5.0,51.4,3.7887659574468087,1.0
A-f92792,FinTech,US,ads,Pro,1,False,False,Basic,19,361,4332,False,False,False,False,annual,False,9.0,5298.0,0.0,0.0,2.0,45.0,3.9906382978723407,0.0
A-84ebe4,FinTech,US,ads,Pro,18,True,True,Enterprise,36,7164,85968,False,False,False,False,monthly,True,10.4,8898.0,4.0,1.4035087719298245,4.0,29.5,3.9906382978723407,0.0
A-5b4ebb,Cybersecurity,UK,other,Basic,21,True,True,Pro,30,1470,17640,False,False,False,False,annual,True,11.6,13394.0,2.0,0.0,5.0,35.4,4.596255319148936,0.0
A-2922b6,HealthTech,US,organic,Basic,15,False,False,Pro,20,980,11760,False,True,False,False,annual,False,10.833333333333334,24453.0,2.0,1.0985915492957745,2.0,15.5,3.9906382978723407,0.0
A-9b9fe9,EdTech,AU,other,Basic,5,False,False,Enterprise,50,9950,119400,False,False,False,False,monthly,True,9.75,12668.0,5.0,2.046511627906977,4.0,33.5,3.9953191489361704,0.0
A-a8b49c,Cybersecurity,UK,partner,Basic,7,False,False,Pro,7,343,4116,False,False,False,False,annual,True,12.0,15472.0,10.0,0.0,1.0,72.0,4.0,0.0
A-9174e0,Cybersecurity,US,partner,Basic,37,False,False,Enterprise,37,7363,88356,False,True,False,False,annual,True,11.090909090909092,37280.0,10.0,1.075187969924812,2.0,39.0,4.490638297872341,0.0
A-a1bbb6,DevTools,CA,organic,Basic,1,False,False,Pro,15,0,0,True,False,False,False,annual,True,10.0,9544.0,0.0,0.0,3.0,17.666666666666668,3.9875177304964544,0.0
A-c45b23,FinTech,UK,partner,Basic,5,False,False,Enterprise,26,5174,62088,False,False,False,True,annual,True,10.5,7602.0,1.0,0.0,3.0,36.666666666666664,3.654184397163121,0.0
A-02cd81,HealthTech,IN,other,Basic,44,False,False,Pro,44,2156,25872,False,False,False,False,annual,True,11.75,18932.0,0.0,0.0,3.0,17.333333333333332,4.3270921985815605,1.0
A-ee42db,EdTech,DE,ads,Enterprise,13,False,False,Basic,30,570,6840,False,False,False,False,monthly,True,11.333333333333334,5146.0,4.0,0.0,4.0,33.75,3.7359574468085106,0.0
A-432483,Cybersecurity,US,ads,Pro,4,False,False,Pro,31,1519,18228,False,False,False,False,annual,True,11.666666666666666,7857.0,3.0,1.8947368421052633,1.0,51.0,3.981276595744681,0.0
A-9208f0,EdTech,US,organic,Pro,1,False,True,Basic,17,0,0,True,False,False,False,annual,True,8.333333333333334,6534.0,3.0,0.0,8.0,41.25,3.7382978723404254,1.0
A-98a59a,FinTech,UK,partner,Enterprise,56,False,False,Pro,56,2744,32928,False,False,False,False,annual,True,10.75,6299.0,2.0,0.0,3.0,37.333333333333336,4.3270921985815605,0.0
A-fe79a5,HealthTech,IN,ads,Basic,9,True,False,Enterprise,9,1791,21492,False,False,False,False,annual,True,9.0,4455.0,0.0,0.0,4.0,28.5,4.490638297872341,0.0
A-726cfa,DevTools,US,partner,Pro,11,False,False,Enterprise,38,7562,90744,False,False,False,False,monthly,False,8.666666666666666,22818.0,0.0,1.8620689655172415,3.0,35.666666666666664,3.993758865248227,0.0
A-c43359,FinTech,US,organic,Pro,38,False,False,Basic,38,722,8664,False,True,False,False,monthly,True,8.666666666666666,11654.0,2.0,0.0,3.0,26.666666666666668,3.9875177304964544,0.0
A-271f46,DevTools,US,event,Pro,38,False,True,Enterprise,46,9154,109848,False,False,False,False,monthly,True,9.857142857142858,22099.0,3.0,2.1184210526315788,1.0,36.0,3.981276595744681,0.0
A-157070,FinTech,US,ads,Pro,16,False,False,Basic,38,722,8664,False,False,False,True,annual,True,9.0,5589.0,1.0,0.0,3.0,42.333333333333336,3.654184397163121,1.0
A-40a557,Cybersecurity,AU,partner,Pro,16,True,False,Enterprise,16,3184,38208,False,False,False,False,monthly,True,11.5,10846.0,4.0,0.0,7.0,30.571428571428573,3.8464437689969606,0.0
A-66224b,HealthTech,US,other,Pro,92,True,False,Enterprise,92,0,0,True,False,False,False,annual,True,10.8,14418.0,0.0,0.7627118644067796,6.0,39.833333333333336,3.5,0.0
A-91e948,EdTech,AU,partner,Basic,41,False,False,Enterprise,41,8159,97908,False,False,False,False,monthly,True,12.5,4821.0,1.0,0.0,0.0,35.861,3.981276595744681,0.0
A-104f1a,Cybersecurity,US,other,Pro,24,False,False,Basic,34,646,7752,False,False,False,False,monthly,True,10.333333333333334,13978.0,2.0,0.0,5.0,33.2,3.796255319148936,1.0
A-7988d1,Cybersecurity,US,other,Basic,33,False,False,Basic,33,0,0,True,False,False,False,monthly,True,10.5,6300.0,0.0,0.0,3.0,35.333333333333336,4.333333333333333,0.0
A-faa28c,HealthTech,US,organic,Enterprise,48,False,False,Pro,48,2352,28224,False,False,False,False,monthly,True,8.4,16758.0,2.0,0.0,4.0,52.25,4.49531914893617,1.0
A-f25509,EdTech,US,other,Enterprise,32,False,False,Basic,57,1083,12996,False,False,True,False,annual,True,9.0,10009.0,1.0,0.0,6.0,42.666666666666664,4.323971631205674,0.0
A-3a7284,FinTech,US,organic,Enterprise,31,False,False,Pro,31,1519,18228,False,True,False,False,annual,True,11.666666666666666,8256.0,2.0,0.0,3.0,56.333333333333336,3.660425531914894,0.0
A-3a5ad8,HealthTech,US,organic,Enterprise,9,True,False,Enterprise,22,0,0,True,False,False,False,annual,True,7.0,4036.0,0.0,0.0,4.0,44.75,4.240638297872341,0.0
A-65a46c,HealthTech,US,event,Pro,1,False,False,Pro,35,1715,20580,False,False,False,False,annual,True,9.857142857142858,26577.0,4.0,0.9210526315789473,8.0,45.125,3.9929787234042555,0.0
A-8b25f2,Cybersecurity,US,ads,Pro,6,False,True,Enterprise,13,2587,31044,False,False,False,False,monthly,True,12.0,3108.0,0.0,0.0,2.0,35.5,4.0,0.0
A-fabe19,DevTools,UK,ads,Enterprise,1,False,False,Enterprise,1,0,0,True,True,False,False,monthly,False,10.6,19880.0,1.0,2.241379310344828,3.0,40.666666666666664,3.9875177304964544,0.0
A-adc1f3,Cybersecurity,US,organic,Pro,2,False,False,Enterprise,5,995,11940,False,False,False,False,monthly,True,9.0,10381.0,4.0,0.0,3.0,47.333333333333336,3.660425531914894,0.0
A-503d5a,FinTech,US,other,Enterprise,4,False,True,Enterprise,56,11144,133728,False,False,False,False,annual,False,9.0,4653.0,0.0,0.0,9.0,36.55555555555556,3.9875177304964544,0.0
A-fd7ad3,Cybersecurity,US,event,Enterprise,1,False,False,Basic,29,551,6612,False,False,False,False,monthly,True,10.5,24452.0,4.0,0.0,8.0,48.75,4.12031914893617,1.0
A-186a44,HealthTech,US,ads,Enterprise,20,False,False,Basic,20,380,4560,False,False,False,True,monthly,False,10.375,34453.0,2.0,0.0,7.0,38.285714285714285,3.706261398176292,0.0
A-e888d1,Cybersecurity,US,other,Pro,14,False,False,Pro,17,833,9996,False,False,False,False,monthly,True,7.0,7589.0,8.0,0.0,5.0,43.0,3.9925106382978726,1.0
A-69fad4,FinTech,UK,ads,Basic,6,False,True,Pro,13,0,0,True,False,False,False,monthly,True,10.555555555555555,26118.0,8.0,0.0,4.0,43.0,3.7453191489361704,0.0
A-9289f6,EdTech,US,event,Enterprise,1,False,False,Pro,25,1225,14700,False,True,False,False,annual,False,10.0,10481.0,2.0,0.0,6.0,37.5,4.157304964539008,0.0
A-f19409,DevTools,US,other,Basic,23,False,True,Basic,35,665,7980,False,False,False,False,annual,False,10.0,21236.0,2.0,1.1818181818181819,3.0,6.333333333333333,3.9875177304964544,0.0
A-22f2df,DevTools,US,ads,Basic,3,False,False,Basic,11,209,2508,False,False,False,False,annual,True,10.125,25299.0,3.0,0.0,5.0,44.8,4.185021276595744,0.0
A-039727,EdTech,AU,organic,Pro,25,False,False,Enterprise,25,4975,59700,False,True,False,True,annual,True,10.714285714285714,26857.0,2.0,0.0,0.0,35.861,3.981276595744681,0.0
A-2e3bad,FinTech,CA,other,Pro,61,False,False,Basic,61,1159,13908,False,False,False,True,monthly,True,7.25,8277.0,0.0,0.0,5.0,31.4,3.7887659574468087,0.0
A-484819,HealthTech,US,organic,Pro,18,False,False,Enterprise,18,3582,42984,False,True,False,False,monthly,True,8.75,13939.0,3.0,0.0,5.0,33.2,4.188765957446809,0.0
A-425e76,DevTools,UK,other,Enterprise,8,False,True,Enterprise,9,1791,21492,False,False,False,False,annual,True,8.0,7200.0,6.0,0.5555555555555556,5.0,48.2,3.5925106382978726,1.0
A-e83938,DevTools,UK,other,Pro,2,True,True,Basic,54,1026,12312,False,False,False,False,annual,False,8.2,9930.0,2.0,0.0,4.0,31.0,3.7359574468085106,0.0
A-ad296b,DevTools,AU,event,Pro,38,False,False,Pro,38,1862,22344,False,False,False,False,annual,True,11.1,42511.0,3.0,0.0,3.0,28.333333333333332,3.6666666666666665,1.0
A-e51ec7,FinTech,CA,partner,Enterprise,2,False,False,Enterprise,10,1990,23880,False,False,False,False,monthly,True,13.666666666666666,5707.0,3.0,0.0,3.0,37.0,4.320851063829788,0.0
A-0aaf6e,FinTech,US,organic,Enterprise,3,False,False,Enterprise,18,3582,42984,False,False,False,False,monthly,True,9.4,9070.0,1.0,0.9615384615384615,5.0,45.0,3.988765957446809,0.0
A-e61e98,FinTech,US,partner,Enterprise,19,False,True,Enterprise,34,6766,81192,False,False,False,False,annual,True,10.125,18547.0,3.0,0.5393258426966292,6.0,30.333333333333332,4.496879432624113,1.0
A-92a333,FinTech,US,event,Enterprise,9,False,False,Basic,9,171,2052,False,False,False,False,monthly,True,8.625,22922.0,1.0,0.0,4.0,23.25,3.981276595744681,1.0
A-95b24a,FinTech,US,event,Pro,38,False,True,Pro,38,0,0,True,True,False,False,annual,True,10.857142857142858,28431.0,10.0,1.2650602409638554,5.0,21.2,4.1962553191489365,0.0
A-42e5e1,DevTools,US,ads,Pro,1,False,True,Pro,10,490,5880,False,False,False,False,annual,False,14.5,1804.0,4.0,0.0,3.0,29.0,4.0,0.0
A-7d514c,HealthTech,DE,organic,Enterprise,17,False,False,Enterprise,17,3383,40596,False,False,False,False,monthly,True,11.0,36314.0,2.0,0.0,3.0,33.333333333333336,4.320851063829788,0.0
A-65aeb5,DevTools,US,partner,Pro,9,False,False,Basic,9,171,2052,False,False,False,True,annual,True,9.222222222222221,15119.0,8.0,0.0,2.0,42.5,4.490638297872341,0.0
