account_id,churn_score,risk_level,MRR,value_level,quadrant,action_recommandee
A-2e4581,0.91,High,1260.3,low,Q2 - Action automatisée,Email automatisé de relance
A-43a9e3,0.28,Low,1250.5,low,Q4 - Aucune action,Aucune action prioritaire
A-0a282f,0.82,High,1219.0666666666666,low,Q2 - Action automatisée,Email automatisé de relance
A-1f0ac7,0.96,High,1325.0,low,Q2 - Action automatisée,Email automatisé de relance
A-ce550d,0.88,High,4909.333333333333,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-1b9609,0.89,High,1528.1818181818182,low,Q2 - Action automatisée,Email automatisé de relance
A-a0ca4e,0.81,High,1848.111111111111,low,Q2 - Action automatisée,Email automatisé de relance
A-e5d6ab,0.84,High,1304.8,low,Q2 - Action automatisée,Email automatisé de relance
A-7dacce,0.94,High,2305.7,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-10b8da,0.26,Low,1464.5,low,Q4 - Aucune action,Aucune action prioritaire
A-592832,0.89,High,1714.2631578947369,low,Q2 - Action automatisée,Email automatisé de relance
A-d40bf7,0.34,Low,4324.7,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-6c093d,0.3,Low,1353.5,low,Q4 - Aucune action,Aucune action prioritaire
A-462d45,0.92,High,1952.6666666666667,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-956988,0.95,High,2262.076923076923,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-ac14bb,0.87,High,3468.25,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-463db0,0.82,High,1895.142857142857,low,Q2 - Action automatisée,Email automatisé de relance
A-ce66f8,0.27,Low,1976.3333333333333,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-c4ea60,0.27,Low,1627.3333333333333,low,Q4 - Aucune action,Aucune action prioritaire
A-832ec2,0.77,High,1162.375,low,Q2 - Action automatisée,Email automatisé de relance
A-684255,0.92,High,846.0,low,Q2 - Action automatisée,Email automatisé de relance
A-c42f1f,0.25,Low,646.875,low,Q4 - Aucune action,Aucune action prioritaire
A-4e44e8,0.98,High,2603.214285714286,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-30b4ca,0.9,High,9492.25,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-9f2731,0.86,High,516.1428571428571,low,Q2 - Action automatisée,Email automatisé de relance
A-32fb14,0.9,High,1129.111111111111,low,Q2 - Action automatisée,Email automatisé de relance
A-00cac8,0.23,Low,1569.0,low,Q4 - Aucune action,Aucune action prioritaire
A-35083d,0.24,Low,2027.0625,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-eb7fac,0.94,High,3214.6,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-b20d99,0.83,High,1581.2857142857142,low,Q2 - Action automatisée,Email automatisé de relance
A-396e5f,0.93,High,1023.6,low,Q2 - Action automatisée,Email automatisé de relance
A-45ce7a,0.33,Low,1173.7142857142858,low,Q4 - Aucune action,Aucune action prioritaire
A-08e34e,0.91,High,1983.7272727272727,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-8145a0,0.92,High,1438.3333333333333,low,Q2 - Action automatisée,Email automatisé de relance
A-bad8c1,0.85,High,1113.857142857143,low,Q2 - Action automatisée,Email automatisé de relance
A-44dc83,0.82,High,114.0,low,Q2 - Action automatisée,Email automatisé de relance
A-f446b6,0.3,Low,1265.7777777777778,low,Q4 - Aucune action,Aucune action prioritaire
A-a45270,0.93,High,1677.5833333333333,low,Q2 - Action automatisée,Email automatisé de relance
A-854864,0.87,High,2459.833333333333,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-1b7577,0.29,Low,797.3636363636364,low,Q4 - Aucune action,Aucune action prioritaire
A-05f0e5,0.78,High,4159.583333333333,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-9077b0,0.27,Low,509.2857142857143,low,Q4 - Aucune action,Aucune action prioritaire
A-7f8241,0.65,High,2634.4,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-2bc93d,0.78,High,2491.846153846154,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-f3ff05,0.91,High,1497.3076923076924,low,Q2 - Action automatisée,Email automatisé de relance
A-2d4502,0.9,High,2907.1,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-6a4e2d,0.9,High,944.9090909090908,low,Q2 - Action automatisée,Email automatisé de relance
A-eb7c38,0.98,High,2494.266666666667,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-c37601,0.89,High,1706.25,low,Q2 - Action automatisée,Email automatisé de relance
A-3b5cd1,0.91,High,1821.2307692307693,low,Q2 - Action automatisée,Email automatisé de relance
A-b2225d,0.56,Medium,1590.6666666666667,low,Q4 - Aucune action,Aucune action prioritaire
A-94f8c9,0.92,High,1999.3125,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-02fac6,0.9,High,2400.909090909091,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-c1dfe1,0.87,High,3223.75,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-32728c,0.86,High,562.25,low,Q2 - Action automatisée,Email automatisé de relance
A-4c38bc,0.33,Low,3003.75,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-1b707d,0.92,High,1166.5,low,Q2 - Action automatisée,Email automatisé de relance
A-6f8ad2,0.26,Low,1525.1764705882354,low,Q4 - Aucune action,Aucune action prioritaire
A-4d1e75,0.55,Medium,2414.6153846153848,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-9ee962,0.9,High,1046.6666666666667,low,Q2 - Action automatisée,Email automatisé de relance
A-378b99,0.64,Medium,1009.6666666666666,low,Q4 - Aucune action,Aucune action prioritaire
A-94d3da,0.43,Medium,1889.4166666666667,low,Q4 - Aucune action,Aucune action prioritaire
A-e351e1,0.91,High,699.6,low,Q2 - Action automatisée,Email automatisé de relance
A-9badbd,0.31,Low,2498.230769230769,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-7e0a10,0.97,High,4111.6,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-118d55,0.86,High,1993.25,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-526d93,0.98,High,4355.666666666667,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-f92792,0.76,High,1343.357142857143,low,Q2 - Action automatisée,Email automatisé de relance
A-84ebe4,0.9,High,2544.909090909091,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-5b4ebb,0.22,Low,2138.692307692308,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-2922b6,0.87,High,1778.1666666666667,low,Q2 - Action automatisée,Email automatisé de relance
A-9b9fe9,0.95,High,1643.75,low,Q2 - Action automatisée,Email automatisé de relance
A-a8b49c,0.58,Medium,963.9166666666666,low,Q4 - Aucune action,Aucune action prioritaire
A-9174e0,0.25,Low,3598.4,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-a1bbb6,0.62,Medium,1800.25,low,Q4 - Aucune action,Aucune action prioritaire
A-c45b23,0.91,High,708.6666666666666,low,Q2 - Action automatisée,Email automatisé de relance
A-02cd81,0.92,High,2354.0,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-ee42db,0.88,High,963.9166666666666,low,Q2 - Action automatisée,Email automatisé de relance
A-432483,0.77,High,2868.111111111112,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-9208f0,0.87,High,438.875,low,Q2 - Action automatisée,Email automatisé de relance
A-98a59a,0.91,High,3645.6,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-fe79a5,0.21,Low,1353.2,low,Q4 - Aucune action,Aucune action prioritaire
A-726cfa,0.86,High,1830.6315789473683,low,Q2 - Action automatisée,Email automatisé de relance
A-c43359,0.87,High,1539.0,low,Q2 - Action automatisée,Email automatisé de relance
A-271f46,0.61,Medium,2450.5,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-157070,0.7,High,1719.125,low,Q2 - Action automatisée,Email automatisé de relance
A-40a557,0.88,High,2591.555555555556,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-66224b,0.23,Low,5466.833333333333,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-91e948,0.25,Low,3127.714285714286,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-104f1a,0.85,High,1577.125,low,Q2 - Action automatisée,Email automatisé de relance
A-7988d1,0.75,High,1188.0,low,Q2 - Action automatisée,Email automatisé de relance
A-faa28c,0.96,High,4171.714285714285,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-f25509,0.89,High,3224.4,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-3a7284,0.85,High,2959.9166666666665,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-3a5ad8,0.25,Low,2207.769230769231,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-65a46c,0.31,Low,2834.375,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-8b25f2,0.27,Low,1080.6153846153843,low,Q4 - Aucune action,Aucune action prioritaire
A-fabe19,0.31,Low,2928.1428571428573,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-adc1f3,0.23,Low,2956.4444444444443,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-503d5a,0.2,Low,1490.3333333333333,low,Q4 - Aucune action,Aucune action prioritaire
A-fd7ad3,0.9,High,383.1,low,Q2 - Action automatisée,Email automatisé de relance
A-186a44,0.25,Low,1499.2142857142858,low,Q4 - Aucune action,Aucune action prioritaire
A-e888d1,0.89,High,1240.5454545454545,low,Q2 - Action automatisée,Email automatisé de relance
A-69fad4,0.86,High,1245.857142857143,low,Q2 - Action automatisée,Email automatisé de relance
A-9289f6,0.9,High,1091.3333333333333,low,Q2 - Action automatisée,Email automatisé de relance
A-f19409,0.85,High,2844.6666666666665,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-22f2df,0.7,High,827.8888888888889,low,Q2 - Action automatisée,Email automatisé de relance
A-039727,0.86,High,2428.0,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-2e3bad,0.88,High,4587.2,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-484819,0.9,High,2575.5,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-425e76,0.94,High,1555.5454545454545,low,Q2 - Action automatisée,Email automatisé de relance
A-e83938,0.79,High,937.875,low,Q2 - Action automatisée,Email automatisé de relance
A-ad296b,0.23,Low,3071.6666666666665,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-e51ec7,0.89,High,3009.5,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-0aaf6e,0.29,Low,2631.777777777778,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-e61e98,0.62,Medium,1498.2222222222222,low,Q4 - Aucune action,Aucune action prioritaire
A-92a333,0.32,Low,1776.5,low,Q4 - Aucune action,Aucune action prioritaire
A-95b24a,0.3,Low,2275.818181818182,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-42e5e1,0.86,High,1273.7142857142858,low,Q2 - Action automatisée,Email automatisé de relance
A-7d514c,0.77,High,2697.111111111112,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-65aeb5,0.94,High,2866.0,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-e2cd1b,0.33,Low,1394.2222222222222,low,Q4 - Aucune action,Aucune action prioritaire
A-180abf,0.85,High,4145.777777777777,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-f17767,0.86,High,1152.7857142857142,low,Q2 - Action automatisée,Email automatisé de relance
A-5a184f,0.79,High,2068.3,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-7df7a7,0.88,High,1943.6666666666667,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-1ac5e0,0.29,Low,1824.9,low,Q4 - Aucune action,Aucune action prioritaire
A-52dd88,0.29,Low,1508.3636363636365,low,Q4 - Aucune action,Aucune action prioritaire
A-bece89,0.87,High,3208.333333333333,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-029f69,0.86,High,914.875,low,Q2 - Action automatisée,Email automatisé de relance
A-5c046d,0.54,Medium,9789.25,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-fb186e,0.25,Low,1923.6666666666667,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-ae052e,0.79,High,1282.1666666666667,low,Q2 - Action automatisée,Email automatisé de relance
A-9f9299,1.0,High,2826.866666666667,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-96e141,0.96,High,2209.714285714286,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-117171,0.9,High,2403.0,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-313be3,0.97,High,1727.8181818181818,low,Q2 - Action automatisée,Email automatisé de relance
A-671f31,0.27,Low,5064.166666666667,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-bbc346,0.92,High,2547.846153846154,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-c16101,0.66,High,1242.2,low,Q2 - Action automatisée,Email automatisé de relance
A-50f3f7,0.23,Low,2938.4666666666667,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-7da956,0.16,Low,913.5833333333334,low,Q4 - Aucune action,Aucune action prioritaire
A-019782,0.28,Low,928.1111111111112,low,Q4 - Aucune action,Aucune action prioritaire
A-df10db,0.95,High,1066.3636363636365,low,Q2 - Action automatisée,Email automatisé de relance
A-3932db,0.33,Low,1565.2222222222222,low,Q4 - Aucune action,Aucune action prioritaire
A-4f18f0,0.91,High,2522.0,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-4c6f11,0.98,High,1517.2,low,Q2 - Action automatisée,Email automatisé de relance
A-8ae05d,0.88,High,3747.142857142857,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-b78bf8,0.67,High,2802.875,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-eafc6e,0.74,High,2318.428571428572,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-37f969,0.84,High,2869.875,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-10b8f2,0.91,High,2559.9166666666665,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-439b2f,0.77,High,299.3333333333333,low,Q2 - Action automatisée,Email automatisé de relance
A-544d0a,0.71,High,1849.2,low,Q2 - Action automatisée,Email automatisé de relance
A-ba6516,0.92,High,2183.0,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-712426,0.87,High,746.4666666666667,low,Q2 - Action automatisée,Email automatisé de relance
A-038089,0.7,High,701.3333333333334,low,Q2 - Action automatisée,Email automatisé de relance
A-afa505,0.89,High,7334.444444444444,high,Q1 - Priorité maximale,Appel CSM direct sous 24h
A-d5a319,0.36,Medium,3153.9166666666665,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-f97b9a,0.32,Low,2166.6363636363635,high,Q3 - Surveillance,"Fidélisation douce, surveillance"
A-2f6a32,0.21,Low,683.0,low,Q4 - Aucune action,Aucune action prioritaire
