account_id,churn_score,risk_level
A-2e4581,0.011263465335945575,Low
A-43a9e3,0.8982364637112038,High
A-0a282f,0.48920974196771166,Medium
A-1f0ac7,0.05614190505580807,Low
A-ce550d,0.8569807382899739,High
A-1b9609,0.07147220306648666,Low
A-a0ca4e,0.07973062043128401,Low
A-e5d6ab,0.09752867067136142,Low
A-7dacce,0.8425315468358451,High
A-10b8da,0.8133919347936157,High
A-592832,0.1927373432123318,Low
A-d40bf7,0.04733323364093984,Low
A-6c093d,0.01859878959815331,Low
A-462d45,0.02652236107716725,Low
A-956988,0.016819654316352146,Low
A-ac14bb,0.02433498327048053,Low
A-463db0,0.026462116675641606,Low
A-ce66f8,0.03729019633968681,Low
A-c4ea60,0.09009283348963083,Low
A-832ec2,0.03772934909284706,Low
A-684255,0.028070381515947943,Low
A-c42f1f,0.09278279936859682,Low
A-4e44e8,0.8252803989250858,High
A-30b4ca,0.13149393717109698,Low
A-9f2731,0.07111652331135447,Low
A-32fb14,0.8648164894556487,High
A-00cac8,0.1703714827608613,Low
A-35083d,0.8414172956500283,High
A-eb7fac,0.02599938919986653,Low
A-b20d99,0.053780039615294956,Low
A-396e5f,0.04638996741082791,Low
A-45ce7a,0.010697146747138073,Low
A-08e34e,0.7109441544706864,High
A-8145a0,0.03378948978287663,Low
A-bad8c1,0.017537693514709653,Low
A-44dc83,0.06577222111063605,Low
A-f446b6,0.03956964295952867,Low
A-a45270,0.025291947510100776,Low
A-854864,0.023886025269936478,Low
A-1b7577,0.02223715783165642,Low
A-05f0e5,0.038520017075880625,Low
A-9077b0,0.022748218937547644,Low
A-7f8241,0.7957833873563336,High
A-2bc93d,0.058083133875069054,Low
A-f3ff05,0.039067583501037166,Low
A-2d4502,0.06684427629390563,Low
A-6a4e2d,0.480089184053806,Medium
A-eb7c38,0.03713423910483146,Low
A-c37601,0.04575639260807603,Low
A-3b5cd1,0.03726170873615442,Low
A-b2225d,0.8354275233919976,High
A-94f8c9,0.038353301426686644,Low
A-02fac6,0.0124762476076704,Low
A-c1dfe1,0.03908165054735976,Low
A-32728c,0.8113642898543911,High
A-4c38bc,0.48355706621868394,Medium
A-1b707d,0.04651874988644209,Low
A-6f8ad2,0.01187477326793284,Low
A-4d1e75,0.16632495944787237,Low
A-9ee962,0.15230192191408953,Low
A-378b99,0.02287506041866954,Low
A-94d3da,0.08849004956542687,Low
A-e351e1,0.09133129141815848,Low
A-9badbd,0.015953982396791192,Low
A-7e0a10,0.02731909833737062,Low
A-118d55,0.08486819278756925,Low
A-526d93,0.06016362207464487,Low
A-f92792,0.17228793037236845,Low
A-84ebe4,0.7486428313134335,High
A-5b4ebb,0.9054356871926525,High
A-2922b6,0.06005735694161907,Low
A-9b9fe9,0.08783706190256518,Low
A-a8b49c,0.02117828882942114,Low
A-9174e0,0.054102654404481566,Low
A-a1bbb6,0.039830592950977066,Low
A-c45b23,0.14057590976732334,Low
A-02cd81,0.21279848890723516,Low
A-ee42db,0.07124787999044227,Low
A-432483,0.06145456386938079,Low
