account_id,ticket_count,resolution_time_hours,escalation_flag
A-00bed1,4,31.75,0
A-00cac8,2,33.0,0
A-0158bb,1,32.0,0
A-016043,3,30.333333333333332,0
A-019782,2,10.0,0
A-029f69,2,42.0,0
A-02cd81,3,17.333333333333332,1
A-02fac6,6,23.333333333333332,0
A-034368,5,41.2,0
A-0354fe,4,20.0,0
A-038089,6,30.166666666666668,0
A-0532a9,8,30.75,0
A-054577,1,46.0,0
A-05d3b3,6,31.5,0
A-05f0e5,4,20.0,0
A-0651a4,4,29.25,0
A-068fc6,5,38.8,0
A-075038,2,43.5,0
A-089363,3,35.0,0
A-08e34e,3,43.0,0
A-09316c,4,54.75,1
A-09540c,2,28.0,0
A-098560,2,28.0,1
A-0a282f,3,43.666666666666664,0
A-0a62f5,2,33.5,0
A-0aaf6e,5,45.0,0
A-0b0d6d,5,31.4,1
A-0baac2,6,43.5,0
A-0be015,7,40.285714285714285,1
A-0cc442,3,37.0,0
A-0dbdc6,4,47.0,0
A-0e966d,3,31.666666666666668,1
A-0f3e88,3,48.0,0
A-0f6450,8,29.75,1
A-0f7d77,5,27.2,0
A-104f1a,5,33.2,1
A-10b8da,3,31.333333333333332,0
A-10b8f2,3,46.333333333333336,0
A-117171,6,32.5,1
A-118d55,5,24.2,0
A-118f1c,1,64.0,0
A-13466a,3,32.333333333333336,1
A-139c3b,9,28.444444444444443,0
A-149a69,8,33.875,0
A-151c9a,2,31.0,0
A-157070,3,42.333333333333336,1
A-158f4e,5,27.6,0
A-1619f8,3,42.0,0
A-17939a,7,38.0,0
A-180abf,3,36.333333333333336,0
A-186a44,7,38.285714285714285,0
A-18793f,5,45.2,0
A-1986ca,7,36.57142857142857,0
A-19b2c8,3,29.333333333333332,0
A-1ac5e0,7,40.42857142857143,0
A-1b707d,3,42.666666666666664,0
A-1b7577,5,27.2,0
A-1b9609,4,43.0,0
A-1d5444,2,30.0,0
A-1e1b80,6,43.0,0
A-1e50e0,2,20.5,1
A-1e6fc3,5,23.8,0
A-1f0636,2,38.5,0
A-1f0ac7,2,29.0,0
A-1f559b,5,50.4,0
A-1f7acb,7,41.714285714285715,0
A-202b67,4,36.75,0
A-20736a,4,42.25,0
A-22d9d2,6,16.0,1
A-22f2df,5,44.8,0
A-241e75,4,31.5,0
A-2446e3,3,28.666666666666668,0
A-249769,2,39.5,0
A-271f46,1,36.0,0
A-2789e3,4,47.25,0
A-2922b6,2,15.5,0
A-296d7c,5,50.4,0
A-297a2d,2,32.5,0
A-2b9d3e,3,34.666666666666664,0
A-2bc93d,2,12.0,0
A-2d1036,5,37.8,1
A-2d4502,3,26.333333333333332,0
A-2e3bad,5,31.4,0
A-2e4581,2,23.0,0
A-2ebb4b,2,43.5,0
A-2edab2,4,30.0,0
A-2f6a32,2,41.0,0
A-309e54,5,23.8,0
A-30b4ca,3,57.666666666666664,0
A-310452,5,34.2,0
A-313be3,4,22.5,1
A-31ab9a,7,43.142857142857146,0
A-32728c,2,34.5,0
A-328bd0,5,46.0,0
A-32fb14,5,34.0,0
A-331424,2,24.5,0
A-337bc1,4,32.5,1
A-342303,3,29.333333333333332,0
A-34d880,5,52.2,0
A-34ea2f,8,35.25,0
A-35083d,4,49.75,0
A-354f12,2,56.5,0
A-378b99,6,28.5,0
A-3793ee,4,43.75,0
A-37f969,5,22.2,1
A-3932db,6,41.0,0
A-396e5f,5,24.8,1
A-39868b,6,39.0,0
A-39b19f,6,47.833333333333336,1
A-39ddf4,5,23.0,0
A-3a5ad8,4,44.75,0
A-3a7284,3,56.333333333333336,0
A-3b37d9,5,36.0,0
A-3b5cd1,5,27.4,0
A-3be56b,4,40.25,0
A-3c1a3f,4,33.25,0
A-3cc791,6,48.333333333333336,1
A-3ce5b8,10,42.5,0
A-3d957b,3,41.333333333333336,0
A-3f9cc0,5,34.8,1
A-40906c,5,29.2,0
A-40a557,7,30.571428571428573,0
A-40de06,3,40.333333333333336,0
A-410e86,5,42.6,0
A-417d2f,6,43.5,0
A-425e76,5,48.2,1
A-427b69,2,31.5,0
A-42b791,3,33.666666666666664,0
A-42e5e1,3,29.0,0
A-432483,1,51.0,0
A-439b2f,3,18.333333333333332,0
A-43a9e3,3,38.0,0
A-4437e4,6,34.666666666666664,2
A-443b7c,8,29.25,0
A-443f6f,4,28.0,0
A-44dc83,7,40.857142857142854,0
A-45ce7a,5,45.4,0
A-462d45,4,26.75,0
A-463db0,6,50.166666666666664,1
A-474ad4,3,33.0,1
A-4814a3,4,18.75,1
A-484819,5,33.2,0
A-49b828,3,13.666666666666666,1
A-4a267b,4,16.25,0
A-4a4c2d,5,42.0,0
A-4ae22a,3,14.333333333333334,0
A-4bfa33,4,16.5,0
A-4c38bc,3,48.333333333333336,0
A-4c56c9,5,38.6,0
A-4c6f11,3,44.666666666666664,0
A-4d1e75,2,15.0,0
A-4e0e85,2,53.0,0
A-4e44e8,3,31.333333333333332,0
A-4e631b,2,24.5,0
A-4e960a,6,29.166666666666668,0
A-4ef964,3,42.666666666666664,0
A-4f18f0,5,39.2,0
A-503d5a,9,36.55555555555556,0
A-508199,3,50.666666666666664,0
A-50bb9f,7,33.285714285714285,0
A-50f3f7,6,37.833333333333336,1
A-51ec1b,3,52.333333333333336,1
A-524364,3,47.666666666666664,0
A-5247b3,5,45.8,0
A-526d93,5,51.4,1
A-52dd88,1,72.0,0
A-533452,4,32.75,0
A-53f4e3,5,28.6,0
A-544d0a,2,38.5,1
A-54d94a,4,53.75,0
A-54ecc2,5,37.4,0
A-558c72,4,64.25,1
A-55f257,6,43.166666666666664,0
A-560d27,4,30.75,0
A-56962b,4,37.5,0
A-5790f4,4,44.0,1
A-58b9ff,2,66.0,1
A-592832,3,32.666666666666664,0
A-59f724,4,19.25,0
A-5a184f,3,15.333333333333334,0
A-5a215a,4,29.5,0
A-5a3eb9,3,24.0,0
A-5a92e7,7,45.0,0
A-5b051a,1,2.0,0
A-5b1bcd,4,43.25,0
A-5b4ebb,5,35.4,0
A-5c046d,1,13.0,0
A-5c9849,4,59.5,1
A-5ed98d,5,35.8,0
A-5f2961,1,53.0,0
A-5f7781,2,28.5,0
A-5fe118,1,19.0,0
A-600734,7,52.57142857142857,1
A-625d0b,5,48.4,0
A-659280,4,8.0,0
A-65a46c,8,45.125,0
A-65aeb5,2,42.5,0
A-65c341,5,41.4,0
A-66224b,6,39.833333333333336,0
A-671f31,7,33.0,0
A-67be94,5,38.6,0
A-684255,4,14.25,1
A-6843f2,2,36.5,0
A-68f37c,5,20.2,0
A-692f18,2,37.5,0
A-6965e1,3,39.0,0
A-69b156,7,32.0,0
A-69fad4,4,43.0,0
A-6a4e2d,2,18.5,1
A-6a7c9d,3,34.333333333333336,0
A-6c093d,3,40.333333333333336,1
A-6da850,5,49.0,0
A-6dee43,5,44.2,0
A-6e08f3,2,36.5,0
A-6e7827,2,51.0,0
A-6f50ae,5,31.0,0
A-6f8ad2,4,35.25,0
A-700ade,4,30.25,0
